gene	nlp	trait	rsid	explanation	explanation_source	gwas_source	annotation_source
A4GALT	66.31184724440844	lactosyl-N-behenoyl-sphingosine (d18:1/22:0)	rs200366907	A4GALT encodes a lactosylceramide 4-alpha-galactosyltransferase which adds a galactose moeity to a lactosylceramide molecule resulting in  globotriaosylceramide (Gb3). The observed metabolite is a likely substrate.	10748143	35347128	35347128
AADAT	19.25	kynurenate	rs6855450	AADAT encodes a mitochondrial kynurenine aminotransferase which can act directly on kynurenine, AADAT encodes a mitochondrial kynurenine aminotransferase which can act directly on kynurenine.  Xanthurenate, another metabolite associated with this locus, is a metabolite of kynurenine.	2029638	36357675	36357675
ABCA1	64.825	HDL Cholesterol	rs1883025	ABCA1 encodes a cholesterol transporter.  Deficiency results in reduced HDL.	10431237	GLGC	30239796
ABCA7	66.32	palmitoyl sphingomyelin (d18:1/16:0)/lactosyl-N-palmitoyl-sphingosine	rs1968456	ABCA7 encodes an ATP-binding cassette transporter that catalyzes sphingomyelin efflux to apoA-I.	12917409	36357675	36357675
ABCB11	11.398	Cholesterol, total	rs2287623	ABCB11 encodes a transporter for taurocholate, a bile acid derived from cholesterol	1862084	24097068	30239796
ABCC1	67.69	5-oxoproline/cys-gly, oxidized	rs60782127	ABCC1 encodes a transporter for glutathione, oxidized glutathione, glutathione conjugates and cysteinylglycine conjugates.  The metabolite observed here, cys-gly, is related to these metabolites.	8640791	36357675	36357675
ABCC2	80.35	glycocholenate sulfate*	rs113441420	ABCC2 encodes hepatobilliary transporter which can transport certain bile acids	11248200	36357675	36357675
ABCC3	24.51	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)/pregnanediol-3-glucuronide	rs11658264	ABCC3 encodes a liver-expressed transporter (MRP3) which can act on bile salts and glucuronide derivatives related to the metabolite observed here, glycochenodeoxycholate glucuronide.	10329726	36357675	36357675
ABCG2	218.17	4-hydroxychlorothalonil	rs2231142	ABCG2 encodes ABC transporter with broad substrate specificity including many fungicides.  Chlorothalonil is a fungicide and is conceivably a substrate for this transporter.  It also has urate transport activity.	27288731|19506252	36357675	36357675
ABCG5|ABCG8	36.56815395430127	campesterol	rs6544713	ABCG5 and ABCG8 together encode a heterodimeric ATP-dependent transmembrane sterol transporter	14504269	35347128	35347128
ABHD12	18.16	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)/1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	rs11474922	ABHD12 encodes a monoacylglycerol lipase; lysophosphatidylinositol can be converted to monoacylglycerol through the action of a lysophosphoinositide-specific phospholipase C.	22969151|7893146	36357675	36357675
ABHD2	10.03	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	rs73467771	ABHD2 encodes an arachidonoylglycerol hydrolase.  The observed metabolite is a related molecule, a glycerophosphocholine with one chain of arachidonic acid at the C-2 position.	26989199	36357675	36357675
ABHD3	31.550984683652214	1-myristoyl-2-linoleoyl-GPC (14:0/18:2)	rs181026394	ABHD3 encodes a phospholipase with demonstrated activity against PC(32:2), specifically the PC(14:0|18:2) stereoisomer.	21926997	35347128	35347128
ABO	36.046	Blood metabolite ratios (ADSGEGDFXAEGGGVR/ADpSGEGDFXAEGGGVR)	rs649129	ABO encodes a glycosyltransferase that determines the blood group.  ABO blood group contributes to von Willebrand Factor levels perhaps by protecting it from susceptibility to ADAMTS13-mediated proteolysis.  As part of the coagulation cascade, von Willebrand Factor effects rates of fibrinogen cleavage.	17894864	24816252	30239796
ACAD8	198.55	isobutyrylcarnitine/propionylcarnitine	rs113488591	ACAD8 encodes an acyl-CoA dehydrogenase with specific activity toward isobuteryl-CoA, which is readily converted to isobutyrylcarnitine.  Rare disease results in elevated isobutyrylcarnitine levels, ACAD8 encodes an acyl-CoA dehydrogenase with specific activity toward isobuteryl-CoA, which is readily converted to isobutyrylcarnitine which can then be converted to isobutyrylglycine	12359132	36357675	36357675
ACADL	134	Blood metabolite levels (X-13431--nonanoylcarnitine)	rs3738934	ACADL encodes Long-chain acyl-CoA dehydrogenase which has activity against a variety of medium and long chain acyl-CoAs .  Intracellular acyl-CoAs are converted to acyl-carnitines for circulation.	10832093	24816252	30239796
ACADM	565.68	octanoylcarnitine/laurylcarnitine	rs145024038	ACADM encodes an acyl-CoA dehydrogenase with a preference for medium chain length acyl-CoAs.  Acyl-CoAs are converted to acyl-carnitines for circulation which are then detected in the plasma.	3597357	36357675	36357675
ACADS	2295.05	ethylmalonate/pseudouridine	rs2014355	ACADS encodes the short chain acyl-CoA dehydrogenase which takes butyrl-CoA as a substrate.   Butyryl-CoA and butyrylcarnitine readily interconvert.	3597357	36357675	36357675
ACADVL	47.45	octanoylcarnitine/myristoleoylcarnitine*	rs534908188	ACADVL encodes acyl-CoA dehydrogenase very long chain which	1730632	36357675	36357675
ACE	37	Blood metabolite ratios (aspartylphenylalanine/X-14450--phenylalanylleucine)	rs4343	ACE encodes an angiotensin-converting enzyme.  This carboxypeptidase can generate aspartylphenylalanine from cholecystokinin-8.	2554881	24816252	30239796
ACMSD	21.431329021990102	N1-Methyl-2-pyridone-5-carboxamide	rs17322446	ACMSD encodes alpha-Amino-beta-carboxymuconate-epsilon-semialdehyde decarboxylase, the key enzyme regulating de novo synthesis of nicitinamide adenine dinucleotide (NAD) from tryptophan.  The associated metabolites are involved in nicotinamde metabolism.	16807375|12694300	35347128	35347128
ACOT1|ACOT2|ACOT4|ACOT6	400.92445303860745	decadienedioic acid (C10:2-DC)	rs11626972	ACOT1|ACOT2|ACOT4|ACOT6 encode a family of Acyl-CoA thioesterases which catalyze the hydrolysis of acyl-CoAs into free fatty acids and coenzyme A	16940157	35347128	35347128
ACOT7	20.79	3-hydroxyoctanoate	rs146144846	ACOT7 encodes a long chain acyl-CoA thioester hydrolase which can act on octanoyl-CoA, releasing octanoate which is related to the observed metabolite 3-hydroxyoctanoate.	10578051	36357675	36357675
ACOX1	31.85	adipoylcarnitine	rs56291490	ACOX1 encodes a peroxisomal acyl-CoA oxidase which introduces a double bond into the fatty acid moeity of an acyl-CoA.  Adipoylcarnitine, the metabolite observed here, is likely derived from an acyl-CoA which may be a substrate for the enzyme or may be related to a substrate.	8117268	36357675	36357675
ACSF3	145.89756629431866	methylmalonate (MMA)	rs72817438	ACSF3 encodes a malonyl-CoA synthase.  Rare disease results in combined malonic and methylmalonic aciduria	21846720	35347128	35347128
ACSL1	10.475	PC ae C44:5	rs7700133	ACSL1 encodes a long-chain fatty-acid-coenzyme A ligase which produces acyl-CoAs.  These in turn can be used in the synthesis of plasmalogens, e.g., via LPCAT4	8584017	26068415	30239796
ACSM1|ACSM2A|ACSM2B|ACSM3|ACSM5	22.41	beta-hydroxyisovalerate	rs145821719	ACSM1/ACSM2A/ACSM2B/ACSM3/ACSM5 encode a set of paralogous medium chain length acyl-coenzyme A synthetases with similar substrate specificity.  Any of them could potentially act on the observed metabolite.		36357675	36357675
ACSM6	19.74	3-hydroxy-2-ethylpropionate	rs34576142	ACSM6 encodes a protein with 50% sequence identity to known medium chain length acyl-CoA synthetases.  The associated metabolite could be a substrate for this enzyme	no suitable citation	36357675	36357675
